ITEM DESCRIPTION,FINISH / COLOR,PART NUMBER,SECTION,APPLICATION,MANUFACTURER,VENDOR,STANDARD / OPTION,option type,QTY,PRICE EACH,PRICE TOTAL
ASSEMBLY,,,,,,,,,,,
Hose Clamp #6,SS,HF06SS,Assembly (HULL),,,Florida Industrial Solutions,STANDARD,,2,$0.56,$1.12
Hose Clamp #8,SS,HF08SS,Assembly (HULL),,,Florida Industrial Solutions,STANDARD,,36,$0.93,$33.48
Hose Clamp #12,SS,HF12SS,Assembly (HULL),,,Florida Industrial Solutions,STANDARD,,58,$0.97,$56.26
Hose Clamp #20,SS,HF20SS,Assembly (HULL),,,Florida Industrial Solutions,STANDARD,,72,$1.04,$74.88
Fuel Tank - 88 Gal,,BRK-88,Assembly (HULL),Fuel Tank,,Florida Marine Tanks,STANDARD,,1,"$1,393.40","$1,393.40"
"Tee - 5/8"" x 5/8"" ",,62101,Assembly (HULL),"W / Fuel Tank
this connects the vapor lines and goes to fill",,US Plastic,STANDARD,,1,$0.80,$0.80
"Ball Valve - 1/2"" x 1/2"" ",SS,MV608-8,Assembly (HULL),"W / Fuel Tank
for the output goes on the bras 90",Parker,Goodyear ,STANDARD,,1,$25.86,$25.86
"Adapter - 1/2"" Hose Barb x 1/2"" MPT",Brass,5346K25,Assembly (HULL),"W / Fuel Tank
this goes into the ball valve",,McMaster-Carr,STANDARD,,1,$3.95,$3.95
"90* Elbow, 5/8"" Hose Barb x 3/8"" MPT",Brass,53525K22,Assembly (HULL),"W / Fuel Tank
this goe to the vapor lines",,McMaster-Carr,STANDARD,,1,$5.31,$5.31
"Plug - 1/2"" MPT",Brass,50785K337,Assembly (HULL),"W / Fuel Tank
for extra pickup 
used with twin engines",,McMaster-Carr,STANDARD,,1,$4.32,$4.32
Aux Fuel Tank - 30 Gal,,BRK-30,Assembly (HULL) - OPTION,Aux Fuel Tank ,,Florida Marine Tanks,OPTION,aux fuel,1,$595.00,$595.00
"GFL 10, NMEA 2000 Level Adapter",Black,010-11326-00,Assembly (HULL) - OPTION,W / Aux Fuel Tank,,Garmin,OPTION,aux fuel,1,$162.49,$162.49
"Ball Valve - 1/2"" x 1/2"" ",SS,MV608-8,Assembly (HULL) - OPTION,W / Aux Fuel Tank OR Dual Engine,Parker,Goodyear ,OPTION,aux fuel,1,$25.86,$25.86
"90* Elbow, 5/8"" Hose Barb x 3/8"" MPT",Brass,5346K25,Assembly (HULL) - OPTION,W / Aux Fuel Tank OR Dual Engine,,McMaster-Carr,OPTION,aux fuel,1,$3.95,$3.95
"Adapter - 1/2"" Hose Barb x 1/2"" MPT",Brass,53525K22,Assembly (HULL) - OPTION,W / Aux Fuel Tank OR Dual Engine,,McMaster-Carr,OPTION,aux fuel,1,$5.31,$5.31
"Tee - 5/28"" x 5/8"" x 1/2""",,62819,Assembly (HULL) - OPTION,W / Aux Fuel Tank,,US Plastics,OPTION,aux fuel,1,$1.00,$1.00
"Bow D-Ringgs - 5-1/2"" Bow Eye x 5/8""",SS,369,Assembly (HULL),Bow,,Midwest Marine ,STANDARD,,1,$55.47,$55.47
"Stern D-Rings - 5/8"" Stern Eye Oval 8-1/4"" ",SS,379,Assembly (HULL),Stern,,Midwest Marine ,STANDARD,,2,$76.25,$152.50
Drain Plug  - Angled,SS,88000,Assembly (HULL),,,Gemlux,STANDARD,,1,$49.84,$49.84
Bilge Pump - 1100 GPH,White,RM1100B,Assembly (HULL),,,Midwest Marine ,STANDARD,,2,$115.89,$231.78
